fips,geo_name,state_abb,type,population_2020,n,lng,lat
3651000,new york,NY,City,8804190,1467,-74.01013178,40.71057056
1714000,chicago,IL,City,2746388,1157,-87.64714639,41.75648806
4835000,houston,TX,City,2304580,548,-95.36750699,29.75876143
1150000,washington,DC,City,689545,499,-77.02764473,38.88926886
4865000,san antonio,TX,City,1434625,488,-98.49249979,29.42353596
4819000,dallas,TX,City,1304379,464,-96.79575895,32.77864624
2507000,boston,MA,City,675647,430,-71.05671289,42.35959328
0667000,san francisco,CA,City,873965,415,-122.4424496,37.76692355
2965000,st. louis,MO,City,301578,400,-90.24517611,38.63577107
4748000,memphis,TN,City,633104,400,-90.04219446,35.14104227
0644000,los angeles,CA,City,3898747,394,-118.2705823,34.05278961
1304000,atlanta,GA,City,498715,387,-84.39491916,33.74863859
2511000,cambridge,MA,City,118403,379,-71.10568614,42.36836893
3345140,manchester,NH,City,115644,356,-71.44453264,42.9844448
0203000,anchorage,AK,City,291247,355,-149.8679026,61.21870115
2743000,minneapolis,MN,City,429954,354,-93.26783448,44.9635188
3915000,cincinnati,OH,City,309317,349,-84.51092329,39.10709069
4817000,corpus christi,TX,City,317863,344,-97.40277135,27.79264371
1919000,davenport,IA,City,101724,326,-90.57545979,41.53779566
2545560,newton,MA,City,88923,325,-71.20844772,42.33166626
4752006,nashville-davidson county,TN,City,689447,299,-86.77730792,36.1664711
2148000,louisville,KY,City,246161,296,-85.7584557,38.2526647
4260000,philadelphia,PA,City,1603797,296,-75.16098543,39.9513585
3912000,canton,OH,City,70872,293,-81.36818543,40.80826431
5548000,madison,WI,City,269840,285,-89.39299838,43.08071974
1517000,honolulu,HI,City,NA,281,-157.85814010000001,21.3098845
2603000,ann arbor,MI,City,123851,280,-83.73080511,42.27598053
3712000,charlotte,NC,City,874579,277,-80.83025506,35.20787423
0820000,denver,CO,City,715522,271,-104.9825208,39.72937112
4805000,austin,TX,City,961855,271,-97.74158882,30.26694457
1836000,indianapolis,IN,City,NA,269,-86.158068,39.768403
2582000,worcester,MA,City,206518,268,-71.80793285,42.27052696
2537000,lowell,MA,City,115554,267,-71.32171466,42.63887326
0816000,colorado springs,CO,City,478961,263,-104.8150755,38.82965135
0666000,san diego,CA,City,1386932,252,-117.1455641,32.7203287
3684000,yonkers,NY,City,211569,251,-73.89732919,40.93125356
2146027,lexington-fayette county,KY,City,322570,250,-84.498175,38.04940919
0606000,berkeley,CA,City,124321,248,-122.2749045,37.87256025
3755000,raleigh,NC,City,467665,241,-78.63539486,35.78534242
4715160,clarksville,TN,City,166722,237,-87.3550077,36.530679
3350260,nashua,NH,City,91322,234,-71.49095098,42.74915103
0937000,hartford,CT,City,121054,230,-72.68339843,41.76606727
0653000,oakland,CA,City,440646,228,-122.296043,37.81057809
3901000,akron,OH,City,190469,224,-81.52186354,41.08004603
3916000,cleveland,OH,City,372624,224,-81.68730336,41.50517637
4804000,arlington,TX,City,394266,224,-97.10633797,32.73329393
4419180,cranston,RI,City,82934,222,-71.44012807,41.77754756
0669000,santa ana,CA,City,310227,217,-117.881864,33.73662414
5531000,green bay,WI,City,107395,217,-88.00607704,44.5121752
1235000,jacksonville,FL,City,949611,216,-81.65565438,30.33217274
3977000,toledo,OH,City,270871,214,-83.53383879,41.65228813
2938000,kansas city,MO,City,508090,206,-94.5880927,39.10253982
2255000,new orleans,LA,City,383997,203,-90.07521242,29.95320293
0664000,sacramento,CA,City,524943,202,-121.4682989,38.56664114
2404000,baltimore,MD,City,585708,200,-76.60750629,39.29017215
0908000,bridgeport,CT,City,148654,199,-73.19897,41.19360279
0107000,birmingham,AL,City,200733,196,-86.79647401,33.52880084
0952000,new haven,CT,City,134023,196,-72.94565412,41.31742237
2567000,springfield,MA,City,155929,196,-72.58435314,42.10157481
4474300,warwick,RI,City,82823,195,-71.46156625,41.69909574
3728000,greensboro,NC,City,299035,194,-79.79931701,36.06740544
0662000,riverside,CA,City,314998,193,-117.3948359,33.93815681
2205000,baton rouge,LA,City,227470,192,-91.18434986,30.44105327
3502000,albuquerque,NM,City,564559,188,-106.6494323,35.09326132
0668000,san jose,CA,City,1013240,186,-121.8864149,37.33941397
3436000,jersey city,NJ,City,292449,185,-74.06892554,40.71885416
5363000,seattle,WA,City,737015,184,-122.3201602,47.59146063
0611530,carson,CA,City,95558,181,-118.249213,33.85153893
3601000,albany,NY,City,99224,178,-73.75587424,42.65163211
3722920,fayetteville,NC,City,208501,178,-78.8751105,35.05248534
0670000,santa monica,CA,City,93076,177,-118.4815604,34.0231892
3918000,columbus,OH,City,905748,177,-82.98893029,39.98840453
0669088,santa clarita,CA,City,228673,176,-118.5534987,34.4114341
0918430,danbury,CT,City,86518,175,-73.47100889,41.40156599
3240000,las vegas,NV,City,641903,175,-115.135146,36.17647644
4714000,chattanooga,TN,City,181099,175,-85.30521378,35.0429216
0648354,modesto,CA,City,218464,174,-120.9888886,37.66065547
3731400,high point,NC,City,114059,174,-80.00116339,35.95409501
0636000,huntington beach,CA,City,198711,173,-118.0009378,33.69491027
0654652,oxnard,CA,City,202063,172,-119.1752592,34.19587017
4075000,tulsa,OK,City,413066,172,-95.9914158,36.1503427
3673000,syracuse,NY,City,148620,171,-76.14376712,43.04092328
0660620,richmond,CA,City,116448,170,-122.3458541,37.93631643
1077580,wilmington,DE,City,70898,170,-75.54522697,39.74721181
1703012,aurora,IL,City,180542,169,-88.3067425,41.7591645
4827000,fort worth,TX,City,918915,169,-97.3130515,32.74683081
4829000,garland,TX,City,246018,167,-96.63178493,32.90931382
4824000,el paso,TX,City,678815,163,-106.4871761,31.75760321
5539225,kenosha,WI,City,99986,163,-87.82462159,42.58764072
0653322,oceanside,CA,City,174068,161,-117.35678,33.20405814
4459000,providence,RI,City,190934,161,-71.42188958,41.82353477
4837000,irving,TX,City,256684,161,-96.95363396,32.81171859
2534550,lawrence,MA,City,89143,160,-71.16268571,42.70027921
5553000,milwaukee,WI,City,577222,160,-87.90691927,43.04042707
0602000,anaheim,CA,City,346824,159,-117.9317495,33.82520922
3457000,paterson,NJ,City,159732,159,-74.16241818,40.91468909
0636770,irvine,CA,City,307670,157,-117.8156611,33.69064485
2071000,topeka,KS,City,126587,157,-95.69658413,39.03826207
1772000,springfield,IL,City,114394,156,-89.64836432,39.79967906
0665000,san bernardino,CA,City,222101,155,-117.2849548,34.10853475
5101000,alexandria,VA,City,159467,155,-77.06405575,38.82049996
0649270,moreno valley,CA,City,208634,153,-117.2508917,33.9184798
1253000,orlando,FL,City,307573,153,-81.37228761,28.537236
1765000,rockford,IL,City,148655,152,-89.06155723,42.26293407
2758000,st. paul,MN,City,311527,152,-93.1060355,44.95580765
3719000,durham,NC,City,283506,152,-78.88934499,35.99459643
0658072,pomona,CA,City,151713,151,-117.762555,34.05850595
4813024,carrollton,TX,City,133434,151,-96.89010862,32.97427994
3961000,parma,OH,City,81146,150,-81.709703,41.38491251
0980000,waterbury,CT,City,114403,149,-73.03613321,41.55823912
1245975,miramar,FL,City,134721,148,-80.30093178,25.98550557
0455000,phoenix,AZ,City,1608139,146,-112.0738681,33.44611431
2622000,detroit,MI,City,639111,145,-83.06556897,42.33199381
5182000,virginia beach,VA,City,459470,145,-76.06100336,36.7518942
0643000,long beach,CA,City,466742,144,-118.1886906,33.77100378
0973000,stamford,CT,City,135470,144,-73.54205042,41.05238167
4839148,killeen,TX,City,153095,144,-97.72921594,31.11446513
4847892,mesquite,TX,City,150108,144,-96.59892023,32.78030066
0655156,palmdale,CA,City,169450,142,-118.1104253,34.57356013
0684550,westminster,CA,City,90911,142,-117.994347,33.7565294
1738570,joliet,IL,City,150362,142,-88.08221964,41.52443341
2270000,shreveport,LA,City,187593,142,-93.7496355,32.51086601
3663000,rochester,NY,City,211328,142,-77.58796144,43.165327
4159000,portland,OR,City,652503,142,-122.6498156,45.51601557
0627000,fresno,CA,City,542107,140,-119.793795,36.74243607
0603526,bakersfield,CA,City,403455,139,-119.019728,35.36628717
0644574,lynwood,CA,City,67265,139,-118.2016542,33.92396365
0646898,merced,CA,City,86333,138,-120.4772196,37.30557812
0955990,norwalk,CT,City,91184,138,-73.4066847,41.1128089
4841464,laredo,TX,City,255205,138,-99.48805487,27.54727979
0630000,glendale,CA,City,196543,137,-118.2492677,34.14509427
0655282,palo alto,CA,City,68572,137,-122.156712,37.44567831
1304204,augusta-richmond county,GA,City,202081,137,-81.97956466,33.47534091
0862000,pueblo,CO,City,111876,136,-104.6055976,38.2674417
3649121,mount vernon,NY,City,73893,136,-73.8290099,40.91356309
5167000,richmond,VA,City,226610,136,-77.43628096,37.54228749
